Dataset,Distance,Predicted_Membership,True_Membership
Outliers,0.0,0,1
Outliers,0.015941502744184675,0,0
Outliers,0.23276749650330017,0,0
Outliers,1.0,0,0
Outliers,0.0,1,1
Outliers,0.37027556114733273,1,1
Outliers,0.26329089984144916,1,1
Outliers,0.3421103029329766,1,1
Outliers,0.10868512532741442,1,1
Outliers,0.7380433851279089,1,1
Outliers,0.006809135491732136,1,1
Outliers,0.6134854399952167,1,1
Outliers,1.0,1,1
Outliers,0.48509761909741805,1,1
Outliers,-0.0,0.75,1.0
Outliers,0.0,0,1
Outliers,0.015941502744184675,0,0
Outliers,0.23276749650330017,0,0
Outliers,1.0,0,0
Outliers,0.0,0,1
Outliers,0.015941502744184675,0,0
Outliers,0.23276749650330017,0,0
Outliers,1.0,0,0
